gsr_max,gsr_min,gsr_mean,gsr_sd,hrate_mean,temp_avg,fear,angry,happy,sad,class
2.02,1.83,1.88019802,0.054980416,82.8569,39,1,1,1,5,3
2.41,1.83,2.146778523,0.197293404,89.9949,37.7,1,1,5,1,2
2.32,2.22,2.26,0.049441323,86.9284,39.1,4,1,1,5,3
2.32,2.12,2.197124183,0.060149739,115.9591,36.9,1,5,1,1,1
2.9,2.61,2.767454545,0.07488802,90.9209,36.8,1,5,1,4,1
2.71,1.83,2.158035714,0.238171863,108.9284,36.6,5,1,1,3,0
2.71,1.83,2.158035714,0.238171863,140.1095,36.9,1,5,1,4,1
3.2,2.41,2.87988764,0.163314354,135.4066,36.7,5,4,1,1,0
3.69,2.51,2.856686747,0.205415731,132.0234,36.6,5,1,2,1,0
6.13,5.64,5.853932584,0.11600958,100.8305,36.5,5,1,4,1,0
6.03,5.44,5.665714286,0.126516772,97.9223,39,3,1,1,4,3
5.64,4.96,5.229044586,0.157018631,94.8619,39.1,1,1,1,4,3
5.84,5.05,5.28675,0.127741615,88.7618,37.8,1,2,3,1,2
5.84,5.05,5.319727891,0.16456229,98.7636,39,1,1,1,5,3
1.34,1.24,1.243787879,0.019163033,102.7986,36.6,3,1,1,1,0
1.53,1.24,1.3676,0.060987165,120.8478,37.8,1,1,5,1,2
1.63,1.24,1.324514563,0.081555053,110.7319,37.6,1,4,5,2,2
1.34,1.34,1.34,2.23E-15,90.7343,39,1,1,1,2,3
1.63,1.34,1.394580153,0.077024068,91.7414,39.1,1,1,2,4,3
9.45,5.25,7.001190476,1.103424203,85.6845,37.7,1,1,4,2,2
6.13,4.17,4.98015625,0.47868655,89.724,36.5,4,1,1,1,0
14.83,4.27,9.179405204,2.070453935,82.7824,36.9,1,5,1,2,1
14.34,9.75,11.318125,1.047337596,80.8048,37.4,4,5,1,1,1
18.25,9.75,12.67773381,1.601766029,100.7843,36.6,5,1,1,1,0
4.76,3.1,3.844100719,0.480102364,102.7536,37.6,2,3,5,2,2
